Date,AAPL
2015-01-02,24.237548828125
2015-01-05,23.554733276367188
2015-01-06,23.55695915222168
2015-01-07,23.88728141784668
2015-01-08,24.805078506469727
2015-01-09,24.831682205200195
2015-01-12,24.21981430053711
2015-01-13,24.434856414794922
2015-01-14,24.34174346923828
2015-01-15,23.681106567382812
2015-01-16,23.497100830078125
2015-01-20,24.10232162475586
2015-01-21,24.286325454711914
2015-01-22,24.918148040771484
2015-01-23,25.046724319458008
2015-01-26,25.073326110839844
2015-01-27,24.1954345703125
2015-01-28,25.563268661499023
2015-01-29,26.359140396118164
2015-01-30,25.973400115966797
2015-02-02,26.299278259277344
2015-02-03,26.30371856689453
2015-02-04,26.505451202392578
2015-02-05,26.694637298583984
2015-02-06,26.4698486328125
2015-02-09,26.645673751831055
2015-02-10,27.157577514648438
2015-02-11,27.794116973876953
2015-02-12,28.145784378051758
2015-02-13,28.283763885498047
2015-02-17,28.450693130493164
2015-02-18,28.64877700805664
2015-02-19,28.588674545288086
2015-02-20,28.822370529174805
2015-02-23,29.60136604309082
2015-02-24,29.4166259765625
2015-02-25,28.664358139038086
2015-02-26,29.02713966369629
2015-02-27,28.590906143188477
2015-03-02,28.731122970581055
2015-03-03,28.791213989257812
2015-03-04,28.608715057373047
2015-03-05,28.1346492767334
2015-03-06,28.176929473876953
2015-03-09,28.297119140625
2015-03-10,27.711769104003906
2015-03-11,27.206541061401367
2015-03-12,27.698408126831055
2015-03-13,27.507003784179688
2015-03-16,27.80970001220703
2015-03-17,28.274852752685547
2015-03-18,28.5931339263916
2015-03-19,28.377246856689453
2015-03-20,28.021137237548828
2015-03-23,28.312694549560547
2015-03-24,28.196964263916016
2015-03-25,27.460275650024414
2015-03-26,27.65167999267578
2015-03-27,27.431333541870117
2015-03-30,28.1257381439209
2015-03-31,27.6939640045166
2015-04-01,27.65389633178711
2015-04-02,27.892051696777344
2015-04-06,28.343854904174805
2015-04-07,28.04561424255371
2015-04-08,27.954364776611328
2015-04-09,28.16802406311035
2015-04-10,28.288217544555664
2015-04-13,28.23257064819336
2015-04-14,28.110170364379883
2015-04-15,28.21699333190918
2015-04-16,28.081228256225586
2015-04-17,27.76518440246582
2015-04-20,28.39949607849121
2015-04-21,28.245933532714844
2015-04-22,28.62651824951172
2015-04-23,28.860212326049805
2015-04-24,28.99597930908203
2015-04-27,29.52346420288086
2015-04-28,29.058300018310547
2015-04-29,28.63097381591797
2015-04-30,27.854209899902344
2015-05-01,28.699960708618164
2015-05-04,28.64432144165039
2015-05-05,27.998878479003906
2015-05-06,27.823055267333984
2015-05-07,27.995145797729492
2015-05-08,28.52259635925293
2015-05-11,28.2320499420166
2015-05-12,28.131473541259766
2015-05-13,28.162761688232422
2015-05-14,28.81984519958496
2015-05-15,28.77961540222168
2015-05-18,29.096988677978516
2015-05-19,29.070165634155273
2015-05-20,29.067930221557617
2015-05-21,29.365175247192383
2015-05-22,29.6221923828125
2015-05-26,28.969594955444336
2015-05-27,29.51045036315918
2015-05-28,29.45233726501465
2015-05-29,29.117097854614258
2015-06-01,29.175212860107422
2015-06-02,29.04557991027832
2015-06-03,29.08133888244629
2015-06-04,28.91147804260254
2015-06-05,28.752792358398438
2015-06-08,28.56282615661621
2015-06-09,28.47789764404297
2015-06-10,28.804201126098633
2015-06-11,28.73939323425293
2015-06-12,28.42201805114746
2015-06-15,28.36614990234375
2015-06-16,28.518125534057617
2015-06-17,28.451078414916992
2015-06-18,28.58070945739746
2015-06-19,28.294628143310547
2015-06-22,28.520360946655273
2015-06-23,28.390731811523438
2015-06-24,28.63210678100586
2015-06-25,28.495779037475586
2015-06-26,28.328147888183594
2015-06-29,27.831993103027344
2015-06-30,28.033140182495117
2015-07-01,28.294628143310547
2015-07-02,28.258878707885742
2015-07-06,28.160533905029297
2015-07-07,28.09124755859375
2015-07-08,27.393945693969727
2015-07-09,26.835201263427734
2015-07-10,27.552621841430664
2015-07-13,28.084543228149414
2015-07-14,28.07337188720703
2015-07-15,28.343791961669922
2015-07-16,28.721506118774414
2015-07-17,28.969594955444336
2015-07-20,29.517162322998047
2015-07-21,29.222137451171875
2015-07-22,27.9862060546875
2015-07-23,27.972797393798828
2015-07-24,27.825288772583008
2015-07-27,27.43863868713379
2015-07-28,27.57497215270996
2015-07-29,27.487808227539062
2015-07-30,27.349239349365234
2015-07-31,27.11009979248047
2015-08-03,26.470903396606445
2015-08-04,25.621610641479492
2015-08-05,25.791471481323242
2015-08-06,25.84759521484375
2015-08-07,25.935157775878906
2015-08-10,26.878089904785156
2015-08-11,25.479402542114258
2015-08-12,25.872297286987305
2015-08-13,25.852087020874023
2015-08-14,26.033935546875
2015-08-17,26.303348541259766
2015-08-18,26.155174255371094
2015-08-19,25.820655822753906
2015-08-20,25.29082489013672
2015-08-21,23.743961334228516
2015-08-24,23.151256561279297
2015-08-25,23.290454864501953
2015-08-26,24.626272201538086
2015-08-27,25.351436614990234
2015-08-28,25.43450355529785
2015-08-31,25.315509796142578
2015-09-01,24.18400001525879
2015-09-02,25.22121810913086
2015-09-03,24.778945922851562
2015-09-04,24.5319766998291
2015-09-08,25.214487075805664
2015-09-09,24.729549407958984
2015-09-10,25.272859573364258
2015-09-11,25.64105224609375
2015-09-14,25.88800811767578
2015-09-15,26.105785369873047
2015-09-16,26.13496971130371
2015-09-17,25.575942993164062
2015-09-18,25.470422744750977
2015-09-21,25.865554809570312
2015-09-22,25.459199905395508
2015-09-23,25.66575050354004
2015-09-24,25.818410873413086
2015-09-25,25.75330352783203
2015-09-28,25.24367332458496
