,expected_return,var_95
2515,0.001974346130826816,-0.03148453353386934
2516,0.001264206876264377,-0.0307743942793069
2517,0.0011214587685880058,-0.030631646171630528
2518,0.0010927643651815356,-0.030602951768224057
2519,0.0010869963812813919,-0.030597183784323915
2520,0.0010858369343397347,-0.030596024337382257
2521,0.0010856038689855672,-0.03059579127202809
2522,0.0010855570195288464,-0.030595744422571368
2523,0.0010855476021205711,-0.030595735005163095
2524,0.001085545709087336,-0.03059573311212986
2525,0.0010855453285606852,-0.03059573273160321
2526,0.001085545252069407,-0.03059573265511193
2527,0.0010855452366935704,-0.030595732639736094
2528,0.0010855452336028081,-0.03059573263664533
2529,0.0010855452329815208,-0.030595732636024043
2530,0.001085545232856633,-0.030595732635899157
2531,0.001085545232831529,-0.030595732635874052
2532,0.0010855452328264827,-0.030595732635869007
2533,0.0010855452328254684,-0.03059573263586799
2534,0.0010855452328252645,-0.03059573263586779
2535,0.0010855452328252236,-0.030595732635867748
2536,0.0010855452328252153,-0.030595732635867737
2537,0.0010855452328252136,-0.030595732635867737
2538,0.0010855452328252131,-0.030595732635867737
2539,0.0010855452328252131,-0.030595732635867737
2540,0.0010855452328252131,-0.030595732635867737
2541,0.0010855452328252131,-0.030595732635867737
2542,0.0010855452328252131,-0.030595732635867737
2543,0.0010855452328252131,-0.030595732635867737
2544,0.0010855452328252131,-0.030595732635867737
